iter	Passed	Remaining
540	10443	3069
541	10463	3050
542	10483	3031
543	10504	3012
544	10523	2992
545	10541	2973
546	10559	2953
547	10578	2934
548	10597	2914
549	10617	2895
550	10640	2877
551	10656	2857
552	10676	2838
553	10694	2818
554	10713	2799
555	10731	2779
556	10750	2759
557	10769	2740
558	10787	2720
559	10807	2701
560	10826	2682
561	10847	2663
562	10866	2644
563	10883	2624
564	10902	2605
565	10922	2585
566	10942	2566
567	10961	2547
568	10979	2527
569	10999	2508
570	11019	2489
571	11039	2470
572	11060	2451
573	11080	2432
574	11097	2412
575	11118	2393
576	11144	2375
577	11161	2355
578	11181	2336
579	11202	2317
580	11220	2298
581	11239	2278
582	11260	2259
583	11279	2240
584	11301	2221
585	11321	2202
586	11343	2183
587	11363	2164
588	11381	2144
589	11401	2125
590	11422	2106
591	11446	2088
592	11469	2069
593	11489	2050
594	11511	2031
595	11532	2012
596	11554	1993
597	11575	1974
598	11595	1955
599	11615	1935
600	11635	1916
601	11653	1897
602	11673	1877
603	11690	1858
604	11711	1839
605	11732	1819
606	11754	1800
607	11775	1781
608	11795	1762
609	11815	1743
610	11834	1723
611	11853	1704
612	11873	1685
613	11894	1666
614	11913	1646
615	11933	1627
616	11951	1607
617	11969	1588
618	11989	1568
619	12010	1549
620	12029	1530
621	12046	1510
622	12067	1491
623	12086	1472
624	12106	1452
625	12127	1433
626	12145	1414
627	12167	1394
628	12185	1375
629	12205	1356
630	12224	1336
631	12243	1317
632	12262	1297
633	12282	1278
634	12303	1259
635	12322	1239
636	12340	1220
637	12358	1201
638	12378	1181
639	12397	1162
640	12414	1142
641	12433	1123
642	12451	1103
643	12468	1084
644	12487	1064
645	12506	1045
646	12526	1026
647	12545	1006
648	12565	987
649	12585	968
650	12604	948
651	12624	929
652	12643	910
653	12659	890
654	12677	870
655	12695	851
656	12715	832
657	12733	812
658	12751	793
659	12771	774
660	12788	754
661	12807	735
662	12825	715
663	12843	696
664	12862	676
665	12880	657
666	12899	638
667	12918	618
668	12937	599
669	12957	580
670	12977	560
671	12995	541
672	13011	522
673	13032	502
674	13052	483
675	13072	464
676	13092	444
677	13113	425
678	13133	406
679	13153	386
680	13171	367
681	13192	348
682	13213	328
683	13233	309
684	13252	290
685	13270	270
686	13289	251
687	13308	232
688	13328	212
689	13350	193
690	13369	174
691	13388	154
692	13407	135
693	13425	116
694	13445	96
695	13462	77
696	13482	58
697	13500	38
698	13518	19
699	13539	0
